chw_id,parent_id,with_errors,total_assessments,percent_without_errors
3f0fce86e571a1275c338749fb1c1daa,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,75,100,25.00
3a482517-d237-4e1f-9dc6-26fa91651575,8a2879ef-1f62-4879-bb09-a5c03246d9f7,169,200,15.50
e143d2f5-cfe1-4c6c-894a-f425171c76be,fb29bb8e-df0a-4009-b344-c1eaf1b5507c,119,182,34.62
adc6e721-8dc0-4c7e-b485-b9713e3cc9e4,a3525081-023b-4a6d-88f0-26edccf4a155,155,191,18.85
fda753c1c37ef32fba0138a4c7bf62a3,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,0,2,100.00
fda753c1c37ef32fba0138a4c7bfe26a,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,1,2,50.00
ca3f9b53-653e-496b-b6a5-f162bb7989f7,74a7f78eef4f8baa9de4e11cd2a4c032,217,290,25.17
f75af203-44c1-4222-9df7-7e4aa7abafcf,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,4,6,33.33
fda753c1c37ef32fba0138a4c7c24611,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,39,58,32.76
cf72ea2a-66cd-4424-a950-477bf8323873,48c62f63-2534-48f6-b46c-8fadab6bc31d,89,226,60.62
d7ead06b-fbf9-44a6-abb9-d6d544d3a972,05795679-67e0-49ca-994f-6c9dc3a1f3d8,287,359,20.06
6db99908-1e86-4bc7-b96c-9568f68c0d66,459e46fd-ad0c-4e39-8e07-4e79b695bde1,101,137,26.28
e3d4114a-23dc-4f60-a70f-77d6f4c958b0,b8dcdbad-52be-4e96-9847-719a914a6491,211,287,26.48
fda753c1c37ef32fba0138a4c7c0b6b4,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,23,62,62.90
b3bbcccd-cd5a-44ad-99cd-4e4116f42d47,74a7f78eef4f8baa9de4e11cd2a4c032,126,173,27.17
db91e797f2ce030419456e90ab7698c5,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,60,71,15.49
fda753c1c37ef32fba0138a4c7940c22,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,22,29,24.14
fda753c1c37ef32fba0138a4c7c422d9,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,11,48,77.08
0240b35c-5c11-4f98-8be6-1f530cd5f686,a1c0a342-35c2-49d8-9342-bfdf6568a3b4,75,169,55.62
fda753c1c37ef32fba0138a4c7c1eeb9,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,8,13,38.46
e70c98d2-ac8b-497f-9bb5-8714740784f4,97098475271077c8491974685dd1a95a,137,150,8.67
073dd9d4-be1c-461c-846d-5f72a24ed9a8,c2537b278a592a34ea80d2e77559766e,116,140,17.14
0ce77558-c7f7-4e09-b254-e871e06a5de7,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,1,6,83.33
1fd03a0b-291b-4f37-a98e-d97bcf7d7358,e9569da9-5c83-4c78-af42-38f53660b3da,98,152,35.53
4a38375c-a83a-405a-9074-23a32ae15c6a,74a7f78eef4f8baa9de4e11cd23884b5,150,210,28.57
36bbde76d9ed4f26c633d5c9600e5c69,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,68,91,25.27
6e604fcd-ca0a-4896-b426-5b87596419c9,76dd1f12-1f8d-4e76-afc4-29964db1a29a,96,115,16.52
d19a7b21-58fd-4236-ac27-f4b2798c10f1,7dca9cfd-562b-4e80-8abd-35082c632d7b,196,232,15.52
db91e797f2ce030419456e90ab782d30,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,8,23,65.22
db91e797f2ce030419456e90ab7a76ab,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,13,51,74.51
db91e797f2ce030419456e90ab783665,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,20,28,28.57
cab4ed56-75a4-4889-9911-1cb7484b21f3,95ec1fc3-d1c1-48b2-9e86-ad0cfa24a03e,171,235,27.23
fda753c1c37ef32fba0138a4c7c0260f,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,1,1,0.00
36bbde76d9ed4f26c633d5c9600e30ff,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,38,65,41.54
4f2fa18f-9f9f-4c91-b08a-17a9911c2221,5957af84-cc24-4cd1-96f2-9ba17f8b30cd,256,587,56.39
66d34761-9b34-4b50-816c-1abd39947479,cd8f5bc9-4d67-4c3e-acaa-bbe7f35a22fd,192,233,17.60
db91e797f2ce030419456e90ab77e521,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,27,64,57.81
e2fea372-ac83-440b-8c68-1d852a2201a9,2a3ab855-1ec0-40f1-adf6-e4d889a45ac1,80,107,25.23
db91e797f2ce030419456e90ab797b4b,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,46,66,30.30
3f0fce86e571a1275c338749fb1c6355,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,98,129,24.03
e34baa1977f817b8c76379c7de69edf2,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,22,24,8.33
5e42aa53-8c17-416b-a61a-c29003746a96,29f5af80-cbf1-43d8-aa66-a717791299d5,134,161,16.77
059ad42e-f7ba-45a1-b01f-0874a2543ce8,48c62f63-2534-48f6-b46c-8fadab6bc31d,62,81,23.46
9607ea23-1f20-45bb-94d0-ab6e978fcc40,c1073b9a-287f-4220-89b4-308222adf077,108,120,10.00
fda753c1c37ef32fba0138a4c7c25e11,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,42,67,37.31
9ff42b13-23db-4c47-b1bb-20d461aacd26,8dcbd2d8-42b2-4117-9c87-f54dfeb19d77,139,185,24.86
3be19c44-e84f-46ee-ae0d-9470e3498825,74a7f78eef4f8baa9de4e11cd238c441,137,267,48.69
ec088c7d-2a27-4790-b0c1-b2c3fad31809,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,18,21,14.29
71e245a4-6170-481c-aacb-440a7d17fa43,59c35915-c608-46bf-8fc2-87ff77456af6,121,212,42.92
cc63af28-d0ea-49a7-9169-da49ee8e95a3,e02fa51a-96a3-426f-900c-22b27185028d,164,287,42.86
fda753c1c37ef32fba0138a4c7859e07,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,29,44,34.09
fda753c1c37ef32fba0138a4c7c1703f,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,31,64,51.56
a4119d4c-664e-49cf-a596-aa25981ebf8d,e89aecfe-7b69-4e27-8f72-aee9dded5b8e,264,386,31.61
40713116-fd23-4ba2-8a0f-825a539050f1,698e3130-1d83-4f3f-9456-393f7d2b0db4,380,497,23.54
8003a79e-8fa0-48d9-8105-7e5a1c0b4a24,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,28,41,31.71
9ef3a5f4-81c6-4f71-9f7d-91a255cf0539,968904c9-0a4d-4091-bb83-b98e9c3995e1,184,213,13.62
bc318dff-b49d-4298-9ea3-65d47311f14a,fb29bb8e-df0a-4009-b344-c1eaf1b5507c,126,156,19.23
db91e797f2ce030419456e90ab76766b,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,9,0.00
41a1c896-823a-44bd-b997-f61f0589e611,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,34,42,19.05
3d461e0b-6032-46c4-90ee-87b09ac455f2,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,24,33,27.27
7e73c48a-5713-45fd-ad0c-1f287b992cef,3d2d7ee1f34a416f6bc94ada35afc6da,178,358,50.28
fda753c1c37ef32fba0138a4c7c0fab5,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,76,161,52.80
fda753c1c37ef32fba0138a4c785bba7,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,43,65,33.85
3f0fce86e571a1275c338749fb1d2213,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,28,55,49.09
a7f09f1a-28f2-4afa-85b8-9d8bf918bafa,2850d80c-d30f-4877-b805-8403d848b0ed,160,259,38.22
da108bcd-f48f-4ad2-88b0-bf0e9b9c4365,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,13,24,45.83
50d49b4c-6cc2-4235-8483-c3d6c320ce5d,f4a90bfb-820b-47ef-9c02-7626434f190f,107,154,30.52
fda753c1c37ef32fba0138a4c7c3114c,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,67,94,28.72
6170341e-0e31-4935-b360-a3d3f82ce888,2c836ef1-6cc8-42ba-a665-200aebdda8ee,153,219,30.14
bb1278b5-d612-4707-8e04-1c1d96c43953,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,18,42,57.14
fda753c1c37ef32fba0138a4c7c33958,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,19,58,67.24
4f3d7f83-180c-414a-a2e1-8c8e255ba2f7,d926c6f8-a9b0-4aec-9b04-8aaedb35990b,210,281,25.27
8947f3ac-0074-4ef8-bb6c-0e8f3ca4c9e5,1b8c5790-6a61-448d-a4b9-1c2dfba81423,124,161,22.98
a0e9237e-08ce-4f60-8240-565acaaa1320,8f68740c-4687-4624-869c-3aec2be2e6cf,119,145,17.93
fda753c1c37ef32fba0138a4c7c06e4e,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,12,24,50.00
fda753c1c37ef32fba0138a4c7c45a61,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,0,1,100.00
ef97b52c-a09b-4598-9a15-81ac63655b42,8c33778f-a91f-4dd9-936d-acc745d5a38a,238,280,15.00
